station,latitude,longitude
新大阪,34.73348,135.500109
新神戸,34.706417,135.195758
西明石,34.666855,134.960542
姫路,34.82657458,134.6904686
相生,34.817938,134.473915
岡山,34.666369,133.918588
新倉敷,34.56499,133.678671
福山,34.489327,133.361432
新尾道,34.429859,133.190158
三原,34.400577,133.082563
東広島,34.389035,132.759762
広島,34.396188,132.475251
新岩国,34.164672,132.149384
徳山,34.051555,131.8029
新山口,34.093061,131.397155
厚狭,34.053361,131.159965
新下関,34.005615,130.948243
小倉,33.886753,130.882682
博多,33.590002,130.420622
